,Unnamed: 0,Cumulative_YoutubeSess_LTE_DL_Time,Cumulative_YoutubeSess_LTE_DL_Volume,Cumulative_YoutubeSess_UMTS_DL_Time,Cumulative_YoutubeSess_UMTS_DL_Volume,Max_RSRQ,Max_SNR,User_Satisfaction,Cumulative_Full_Service_Time_UMTS,Cumulative_Lim_Service_Time_UMTS,Cumulative_No_Service_Time_UMTS,Cumulative_Full_Service_Time_LTE,Cumulative_Lim_Service_Time_LTE,Cumulative_No_Service_Time_LTE
18556,18559,100.727,110854.0,0.0,0.0,-6.0,27.8,1.0,53917,5636,2043,213227,3996,2883
15582,15585,9.324,93.0,0.0,0.0,-3.0,-19.8,0.0,85021,1761,1223,87700,4287,1251
14320,14322,2715.406,2271118.0,580.9069999999998,63891.0,-3.0,-19.8,0.0,123462,4664,2715,203846,5776,8748
10475,10477,74.097,39065.0,0.0,0.0,-4.0,-19.8,0.0,85675,4903,1322,7924,1799,9491
14463,14465,168.955,41933.0,0.0,0.0,-3.0,-19.9,1.0,104902,2068,669,137121,3846,937
20366,20369,19.289,380.0,0.0,0.0,-3.0,-19.8,0.0,129610,8440,788,188039,237,5653
5462,5463,46.877,16547.0,5.7010000000000005,194.0,-4.0,-19.8,0.0,43783,2606,947,659,2134,280
7318,7319,18.23,1292.0,0.0,0.0,-3.0,-19.7,0.0,46634,247,3880,156413,991,2752
20383,20386,124.359,96498.0,0.0,0.0,-6.0,25.6,1.0,3916,4349,4532,160528,1249,1084
4887,4888,9.207,359.0,12.396,212.0,-4.0,25.2,0.0,77265,6563,2637,181318,4864,2637
20975,20978,2.071,13.0,0.0,0.0,-7.0,26.4,0.0,77365,1869,4073,121237,301,2594
15971,15974,186.863,36902.0,0.0,0.0,-5.0,26.0,0.0,98038,4188,1908,295984,2300,8800
12260,12262,2.188,16.0,0.0,0.0,-6.0,29.6,0.0,91508,4218,2108,182148,1772,2465
23435,23438,2164.606,681672.0,147.512,27800.0,-3.0,-19.8,1.0,43741,950,1452,92741,6940,8824
15152,15154,3.419,2713.0,0.0,0.0,-6.0,27.3,1.0,104376,3930,289,144549,2383,5007
22268,22271,3491.9590000000007,1634713.0,20.916,876.0,-7.0,29.8,1.0,8376,2145,3763,129349,4128,5532
19054,19057,2.166,155.0,0.0,0.0,-6.0,28.0,1.0,19362,6189,927,112570,4824,10414
17181,17184,23.138,512.0,33.566,8771.0,-6.0,29.4,1.0,82476,2617,2803,101303,3227,3892
18772,18775,3.576,51.0,0.0,0.0,-6.0,25.0,0.0,50307,2339,3557,86613,3105,2517
23054,23057,31.755,10928.0,0.0,0.0,-5.0,-19.8,1.0,47953,1340,490,193975,3751,4707
5302,5303,108.193,36178.0,25.434,4559.0,-4.0,27.0,1.0,136843,6774,1429,186922,5711,11736
3710,3710,215.124,71674.0,50.08,5772.0,-3.0,-19.8,0.0,51752,1294,4599,140999,3075,3817
8032,8033,0.0,0.0,6453.604,861540.0,-10.0,-20.0,0.0,89727,4225,53,197569,4552,2373
22893,22896,96.495,39827.0,0.0,0.0,-7.0,24.8,0.0,72994,3411,38,28189,25,7059
14272,14274,0.0,0.0,383.9320000000001,75687.0,-6.0,29.0,0.0,56201,4762,529,165690,3229,7900
5119,5120,31.194000000000006,30220.0,0.0,0.0,-4.0,-19.8,0.0,54856,3446,1286,13569,3168,10310
5861,5862,2.388,63.0,0.0,0.0,-7.0,22.4,0.0,63682,262,3463,161525,3369,12615
19717,19720,37.675,9917.0,0.0,0.0,-6.0,24.8,0.0,93523,4494,1267,225143,2040,6694
2033,2033,158.316,128657.0,0.0,0.0,-6.0,29.2,0.0,76483,1738,2350,252948,4326,6452
14051,14053,31.476,23866.0,0.0,0.0,-4.0,-19.8,0.0,73899,4880,1497,104845,6262,1637
19129,19132,118.92399999999999,24215.0,53.503,15525.0,-5.0,-19.9,0.0,2118,5748,4099,127928,1908,3437
19019,19022,486.13800000000015,659457.0,0.0,0.0,-3.0,29.0,1.0,12420,5151,609,293683,1021,4560
17218,17221,3820.6940000000013,1158998.0,2732.855000000001,406923.0,-6.0,27.4,0.0,73959,2081,2346,153335,3098,243
13697,13699,7.826,81.0,0.0,0.0,-3.0,27.0,1.0,40702,3498,1405,6913,1142,5242
920,920,5.334,82.0,45.826,11750.0,-7.0,18.8,0.0,84538,8735,2111,189282,1096,2771
12469,12471,1214.6950000000004,288116.0,417.511,31602.0,-9.0,19.0,0.0,83919,2232,850,185063,2305,1691
23476,23479,127.849,61337.0,375.8299999999999,27113.0,-7.0,18.0,1.0,75271,4458,2160,151803,675,4073
12543,12545,8.780999999999999,79.0,0.0,0.0,-6.0,25.2,0.0,37688,599,3497,113044,2051,1102
9001,9003,2.397,44.0,0.0,0.0,-4.0,24.0,1.0,1369,4412,2298,176244,2284,2103
16770,16773,8.142999999999999,743.0,0.0,0.0,-6.0,25.0,1.0,29576,5878,1928,294739,902,8000
10638,10640,279.488,81605.0,33.657,4036.0,-6.0,-19.9,0.0,121911,4986,3444,248441,1033,1021
4221,4222,4.242,29.0,0.0,0.0,-3.0,-19.8,1.0,40548,1586,1474,144680,2187,4479
10213,10215,1097.644,528916.0,72.288,30680.0,-7.0,20.6,0.0,124803,3802,1342,258887,4740,7009
19366,19369,172.46900000000005,97330.0,0.0,0.0,-6.0,28.0,0.0,58522,1624,1028,189189,44,1734
3470,3470,76.055,10044.0,7.762,188.0,-4.0,-19.8,1.0,31032,724,952,29908,3240,9908
11332,11334,0.0,0.0,2.479,51.0,-7.0,21.2,1.0,67665,4476,4513,237656,1700,993
16572,16575,2.55,13.0,0.0,0.0,-5.0,-19.9,0.0,75619,6592,3941,148476,4626,2124
9686,9688,480.28,262951.0,143.283,65924.0,-6.0,27.2,0.0,112075,3394,21,52947,430,7308
17543,17546,2113.163,1553733.0,23.452,4689.0,-3.0,-19.8,1.0,62058,4462,1489,73352,5474,8535
10358,10360,9.914,155.0,0.0,0.0,-6.0,-19.9,0.0,84871,2682,822,109497,4701,457
4746,4747,47.03,31608.0,0.0,0.0,-7.0,25.0,0.0,111785,4263,110,234300,724,3867
17329,17332,0.0,0.0,36.30499999999999,20066.0,-3.0,4.1,0.0,53923,315,309,64301,448,3631
7458,7459,5.872999999999998,197.0,0.0,0.0,-4.0,-19.8,1.0,70210,5201,636,193250,4257,9525
385,385,220.604,233555.0,29.63,2989.0,-3.0,-19.9,0.0,90711,7139,3467,298358,6781,2532
22142,22145,3.784,90.0,2.126,98.0,-7.0,-19.9,1.0,28671,1855,524,140990,3944,3589
1719,1719,96.442,48976.0,0.0,0.0,-6.0,27.0,0.0,73009,5084,2724,22979,2358,3314
12214,12216,4.506,157.0,0.0,0.0,-4.0,2.8,0.0,68355,1074,1987,181804,2590,1061
15083,15085,12.158,110.0,0.0,0.0,-4.0,28.0,0.0,4395,5568,3522,160048,1420,1896
3205,3205,828.36,426568.0,73.567,11709.0,-3.0,-19.9,1.0,77425,563,571,19836,2719,13249
